[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T11:10:44.380Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
5516,235.09355680789545,303.10646662934016,-2.569610340910205,121,131,100,255,0,59,61,41,128,255
5549,235.03376769340986,303.28618951306686,-2.5809174409389093,120,130,100,255,0,59,61,41,128,255
5585,235.17421386594341,303.378250808618,-2.592531623461277,120,130,100,255,0,59,61,41,128,255
5615,235.58880777515836,303.0987382448692,-2.6154794786864124,119,129,100,255,0,60,62,41,128,255
5649,235.99501699028826,302.32664235298046,-2.654678944004786,117,127,100,255,0,61,63,41,128,255
5685,235.67241312334284,301.3482941763082,-2.690942314010089,115,125,100,255,0,62,64,41,128,255
5717,235.155242336485,300.5823468241619,-2.7205319431323103,114,124,100,255,0,63,65,41,128,255
5750,234.7329936407775,300.1252164589623,-2.7424145626596723,113,123,100,255,0,63,65,41,128,255
5785,234.6436524636512,299.6527559135859,-2.7779832908023,111,121,100,255,0,64,66,41,128,255
5817,234.62377109872884,299.60330095633526,-2.8028203224177277,110,120,100,255,0,65,67,41,128,255
5863,234.58175309050236,299.53503424698465,-2.801431776918485,110,120,100,255,0,65,67,41,128,255
5884,234.58806951359077,299.2011193703344,-2.8068409880155825,110,120,100,255,0,65,67,41,128,255
5916,234.34314308067863,299.5431735360013,-2.817052126647968,109,119,100,255,0,65,67,41,128,255
5947,234.72010599965805,300.06155439834674,-2.853806445789649,107,117,100,255,0,66,68,41,128,255
5983,234.99288504208198,300.2650637314309,-2.9178864413461256,104,114,100,255,0,68,70,41,128,255
6015,234.74327941317827,300.52870920871123,-2.9762546680056023,102,112,100,255,0,69,71,41,128,255
