[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-10T11:48:13.535Z

ms,x,y,θ,start1,stop1,start2,stop2
51598,380.1506887812228,722.5296078572368,0.8789112274457558,104,1,66,68
51698,378.64537543621793,720.9038325411784,1.0754704180501693,110,7,64,66
51798,379.597289353002,722.7338615545132,1.4758793210823653,8,18,58,60
51898,378.28560281428884,725.1450314820552,1.6514959130709834,12,22,55,57
51997,375.7546668999918,727.3658270570171,1.7046918622934606,14,24,55,57
52098,376.8401677206771,725.1791754407964,1.6607920025045704,13,23,55,57
52201,378.99661122361874,723.553881093642,1.665358241293813,13,23,55,57
52297,380.7707061360244,725.2639029397997,1.6429855119118595,12,22,55,57
52398,380.5038762314612,721.2699145531275,1.4292328479807486,6,16,59,61
52497,385.5117652722081,716.9558005827915,1.2957804236003092,3,13,60,62
52598,391.5472024154699,715.4178857223964,1.241361283942017,1,11,61,63
52698,391.7844247541344,715.40563919979,1.1778305683460784,113,10,62,64
52798,387.46903154974666,718.1512451593256,1.1500535587896163,112,9,63,65
52898,384.5437693455097,721.5068165216599,1.0679446899988143,110,7,64,66
52997,387.6149163719731,726.2142828153089,1.0046650694724863,108,5,65,67
53098,388.909708779621,726.1622527987304,0.9828931226736985,107,4,65,67
53207,390.39518949265664,722.5568406808867,0.9972715662254518,108,5,65,67
53298,390.35600657958463,718.9028597978723,1.001807202077895,108,5,65,67
53398,389.08866270948414,715.7442317051425,1.0095064988873244,108,5,65,67
53498,389.3720045822515,718.14111025545,1.0018870406489988,108,5,65,67
53597,387.5983106538712,721.007123355053,1.007890226324611,108,5,65,67
53698,384.1485915089461,721.0761199671806,1.015915081539019,108,5,64,66
53797,381.76588886564036,719.6087081639643,1.0218899861726172,108,5,64,66
53898,379.6374451149534,718.9252470168002,1.0354188496521635,109,6,64,66
53998,381.50029302679417,720.5256316310762,1.0477407285754268,109,6,64,66
54098,384.36292534438246,721.8991665595826,1.0493329741201598,109,6,64,66
54201,381.28891631632564,719.1825795195331,1.0424030177252301,109,6,64,66
54297,383.0784962831491,716.3693540481081,1.054327732839855,109,6,64,66
54398,388.37112133683524,713.101680824353,1.0631527732519999,109,6,64,66
54497,391.0306356034162,711.9081138845036,1.0628836371280268,109,6,64,66
54598,390.97401033164505,712.6240261973835,1.0855502026230455,110,7,63,65
54698,388.41243216516585,712.6921264991556,1.0741800847499392,110,7,64,66
54797,388.0896829546829,712.9971573868295,1.0747390368740322,110,7,64,66
54898,386.29434626101323,711.6401378563024,1.0047519925018622,108,5,65,67
54998,385.57847679928796,710.2756644132,0.889963736586339,105,2,66,68
55106,388.09826915970945,709.4698772630364,0.7450704467097653,101,111,68,70
55198,386.9129139405411,707.6039765766523,0.6137684407023123,97,107,70,72
55298,385.5461150024559,706.9032984132825,0.507735375346109,94,104,72,74
55398,383.8795564846681,706.1403428444848,0.3288992523875413,90,100,74,76
55498,385.16154825042315,705.2304387720832,0.28108764255364427,88,98,75,77
55598,385.4797601058485,707.0127871032632,0.3020373555730307,89,99,75,77
55698,383.65865744391016,708.2065009633868,0.3608437420439387,90,100,74,76
55798,381.69514060868653,710.5914718442734,0.6754504522628246,99,109,69,71
